UTC Time,Latitude,Longitude,Altitude(m),Speed(m/s),Vx(m/s),Vy(m/s),Vz(m/s),Satellites Used
2026-03-22 06:44:38,32.16835285,34.81181177,1466.706,0.0,0.0,0.0,0.0,5
2026-03-22 06:44:40,32.16520735,34.81291182,980.523,0.0,0.0,0.0,0.0,5
2026-03-22 06:44:44,32.1688099,34.81328144,59.077,0.0,0.0,0.0,0.0,5
2026-03-22 06:44:45,32.16880159,34.81329341,53.763,2.204,-1.574,-0.544,-1.444,5
2026-03-22 06:44:46,32.16886512,34.81314824,65.885,6.828,4.321,-3.337,4.101,5
2026-03-22 06:44:47,32.16878707,34.81327498,60.511,2.525,-0.118,1.938,-1.615,5
2026-03-22 06:44:48,32.16882781,34.81335052,58.714,3.968,-2.988,2.606,0.178,5
2026-03-22 06:44:49,32.16885833,34.81316581,66.467,5.65,3.749,-3.071,2.904,5
2026-03-22 06:44:50,32.16879131,34.81325664,53.126,4.248,-2.116,-0.704,-3.615,5
2026-03-22 06:44:51,32.16891651,34.81330945,41.117,8.638,-8.173,-2.796,-0.026,5
2026-03-22 06:44:52,32.16884475,34.81334333,46.741,3.391,-2.679,1.426,-1.512,5
2026-03-22 06:44:53,32.16884656,34.81331839,61.677,4.842,3.047,2.946,2.341,5
2026-03-22 06:44:54,32.16885748,34.81332388,34.877,7.878,-5.952,-3.39,-3.892,5
2026-03-22 06:44:55,32.16877971,34.81332497,74.351,11.555,8.887,6.679,3.151,5
2026-03-22 06:44:56,32.16882863,34.81330782,48.352,3.779,-2.475,-2.209,-1.809,5
2026-03-22 06:44:57,32.16882352,34.81329559,54.49,0.737,0.584,-0.449,0.03,5
2026-03-22 06:44:58,32.16884911,34.81330407,49.369,2.21,-1.752,-1.342,-0.112,5
2026-03-22 06:44:59,32.16885267,34.81328091,48.427,1.967,-0.883,-1.752,-0.134,5
2026-03-22 06:45:00,32.16884891,34.81334137,71.518,8.499,4.66,5.335,4.696,5
2026-03-22 06:45:01,32.16878927,34.81319399,33.104,11.584,-3.552,-7.985,-7.603,5
2026-03-22 06:45:02,32.16873676,34.81331004,68.841,9.074,6.322,6.42,1.078,6
2026-03-22 06:45:03,32.16873721,34.81328061,57.409,2.28,1.24,0.724,-1.771,6
2026-03-22 06:45:04,32.16876426,34.81348739,80.838,12.276,2.279,11.004,4.942,7
2026-03-22 06:45:05,32.16878186,34.8132716,45.422,9.169,-4.171,-7.165,-3.916,7
2026-03-22 06:45:06,32.16873647,34.81339254,93.48,14.457,9.132,9.349,6.181,7
2026-03-22 06:45:08,32.16879376,34.81332118,69.507,3.714,2.36,1.801,2.231,6
2026-03-22 06:45:09,32.16877373,34.813306,56.484,3.111,-1.488,-1.637,-2.187,6
2026-03-22 06:45:10,32.16882361,34.81326933,65.988,3.172,1.571,-0.953,2.585,5
2026-03-22 06:45:11,32.16872751,34.81326034,72.505,5.148,4.812,1.705,-0.669,6
2026-03-22 06:45:12,32.16868046,34.81338012,48.782,9.036,-5.375,0.782,-7.221,7
2026-03-22 06:45:13,32.16875085,34.81329679,53.899,2.557,-1.373,-2.072,-0.6,6
2026-03-22 06:45:14,32.16879477,34.81320177,37.349,9.302,-4.229,-7.978,-2.235,5
2026-03-22 06:45:15,32.16873189,34.8132902,58.398,3.969,2.628,2.869,0.781,5
2026-03-22 06:45:16,32.16884536,34.81342407,103.188,21.271,8.945,12.996,14.267,5
2026-03-22 06:45:17,32.16888821,34.81341865,60.952,7.271,-7.088,-1.112,1.175,5
2026-03-22 06:45:18,32.16877975,34.813384,50.058,7.595,-4.432,-2.384,-5.688,6
2026-03-22 06:45:38,32.16877711,34.81326232,66.118,4.24,-2.302,-1.462,-3.247,8
2026-03-22 06:45:39,32.16882503,34.81318585,45.232,11.219,-6.47,-7.93,-4.597,6
2026-03-22 06:45:40,32.16861616,34.81333016,46.452,11.015,-2.601,2.764,-10.34,7
2026-03-22 06:45:41,32.16874105,34.81325545,65.343,4.037,2.879,1.312,2.508,6
2026-03-22 06:45:42,32.16873625,34.81328001,45.487,5.592,-4.229,-2.225,-2.904,7
2026-03-22 06:45:43,32.16872207,34.81319724,48.312,3.59,0.306,-3.162,-1.673,7
2026-03-22 06:45:44,32.16878756,34.81320208,54.101,3.112,0.419,-1.511,2.688,8
2026-03-22 06:45:45,32.16884909,34.81320219,29.613,10.177,-7.752,-6.466,-1.292,8
2026-03-22 06:45:46,32.16873425,34.81314863,61.752,8.171,7.664,2.222,1.757,8
2026-03-22 06:45:47,32.16870815,34.81312619,42.542,4.859,0.247,-2.723,-4.016,7
2026-03-22 06:45:48,32.16873808,34.81308299,52.977,3.779,3.399,-1.359,0.936,7
2026-03-22 06:45:49,32.16877727,34.81298039,36.874,7.824,-0.987,-7.634,-1.396,7
2026-03-22 06:45:50,32.16881538,34.81300964,58.402,6.557,4.024,-0.027,5.178,7
2026-03-22 06:45:51,32.16874979,34.81292069,60.778,6.525,6.262,-1.428,1.15,7
2026-03-22 06:45:52,32.16876923,34.8128431,63.251,6.782,5.739,-3.044,1.947,7
2026-03-22 06:45:53,32.16879154,34.81280256,52.797,5.496,0.978,-5.404,-0.221,8
2026-03-22 06:45:54,32.16880397,34.81286247,29.664,10.573,-7.375,-6.026,-4.592,8
2026-03-22 06:45:55,32.16878341,34.81276317,52.367,5.038,4.423,-2.026,1.308,8
2026-03-22 06:45:56,32.16878054,34.81274556,60.93,6.014,5.47,-0.067,2.5,8
2026-03-22 06:45:57,32.16881926,34.81267436,58.116,5.223,3.282,-3.312,2.355,8
2026-03-22 06:45:58,32.16880992,34.81259536,40.412,8.261,-1.07,-7.73,-2.708,8
2026-03-22 06:45:59,32.16876468,34.8125629,56.864,5.814,5.508,-1.854,0.18,8
2026-03-22 06:46:00,32.16878705,34.81250311,38.261,7.562,-1.013,-6.862,-3.014,8
2026-03-22 06:46:01,32.16884817,34.81231488,77.246,16.103,13.099,-3.236,8.789,8
2026-03-22 06:46:02,32.16887737,34.81229158,52.833,7.928,1.009,-7.776,1.171,5
2026-03-22 06:46:03,32.16870838,34.8123708,36.317,9.976,-2.416,-3.126,-9.16,8
2026-03-22 06:46:04,32.16878589,34.81219846,45.433,7.312,3.294,-6.497,-0.644,7
2026-03-22 06:46:05,32.1686542,34.81217573,15.981,14.74,-3.168,-8.52,-11.603,8
2026-03-22 06:46:06,32.16878268,34.8119604,82.884,22.408,18.844,-0.582,12.11,6
2026-03-22 06:46:07,32.16878943,34.81205457,52.389,3.63,0.67,-3.418,1.025,7
2026-03-22 06:46:08,32.16880402,34.81200203,57.159,4.484,2.577,-2.953,2.179,8
2026-03-22 06:46:09,32.16879799,34.81193309,47.321,5.831,0.413,-5.727,-1.014,8
2026-03-22 06:46:10,32.16880615,34.81186663,47.202,5.831,1.488,-5.628,-0.328,7
2026-03-22 06:46:11,32.16882546,34.81181221,41.153,6.537,0.009,-6.492,-0.76,7
2026-03-22 06:46:12,32.1688031,34.81176365,42.888,5.235,1.967,-4.763,-0.926,6
2026-03-22 06:46:13,32.1687888,34.81171143,38.589,5.666,1.387,-5.113,-2.008,7
2026-03-22 06:46:14,32.16873954,34.8116502,52.184,7.088,6.886,-1.673,-0.159,8
2026-03-22 06:46:15,32.16870218,34.81154359,55.375,8.686,8.039,-3.185,-0.819,7
2026-03-22 06:46:16,32.16865807,34.81152656,59.829,7.447,7.284,-0.983,-1.199,7
2026-03-22 06:46:17,32.16869044,34.81138044,84.568,14.945,13.767,-0.771,5.764,6
2026-03-22 06:46:18,32.16877811,34.81127254,70.628,9.919,5.009,-7.681,3.782,8
2026-03-22 06:46:19,32.16871517,34.81125011,59.618,7.211,1.648,-6.583,-2.439,7
2026-03-22 06:46:20,32.1686087,34.8112987,34.656,13.211,-4.933,-5.834,-10.777,8
2026-03-22 06:46:21,32.1687377,34.81118086,36.914,8.833,-2.295,-8.453,-1.142,7
2026-03-22 06:46:22,32.1687195,34.81110904,37.978,6.988,0.818,-6.846,-1.142,6
2026-03-22 06:46:23,32.1687222,34.81101302,31.961,8.53,0.834,-8.282,-1.865,6
2026-03-22 06:46:24,32.16866631,34.81091403,66.27,13.886,13.254,-0.65,4.089,7
2026-03-22 06:46:25,32.16868072,34.81091363,57.916,5.924,5.359,-2.211,1.215,7
2026-03-22 06:46:26,32.16871954,34.81084449,31.962,10.147,-3.263,-9.008,-3.34,6
2026-03-22 06:46:27,32.16863927,34.81071786,61.382,10.883,10.504,-2.559,1.247,7
